,Xf,Xa,Xi,phi,Tad,Flammable
0,0.01,0.99,0.0,0.02404040404040404,382.897680320654,0.0
1,0.01,0.9,0.09,0.02999253327857998,393.90116261225893,0.0
2,0.01,0.8,0.19,0.038132568562930215,406.0333427259045,0.0
3,0.01,0.7,0.29,0.048523928248446646,418.0666240403602,0.0
4,0.01,0.6,0.39,0.06225048572597071,430.00092727755987,0.0
5,0.01,0.5,0.49,0.08122486983417683,441.83615102480053,0.0
6,0.01,0.4,0.59,0.1091677732220512,453.57218081383417,0.0
7,0.01,0.3,0.69,0.1544056603977504,465.20889739473023,0.0
8,0.01,0.2,0.79,0.24019145325268285,476.74618254090996,0.0
9,0.01,0.1,0.89,0.4653156288509315,488.18393233252016,0.0
10,0.01,0.0,0.99,2.6367830565818045,384.5439194021858,0.0
11,0.02,0.98,0.0,0.048571428571428585,465.4901126141314,0.0
12,0.02,0.9,0.08,0.055989980816897045,474.97425064410976,0.0
13,0.02,0.8,0.18,0.06729157740445656,486.7366084293926,0.0
14,0.02,0.7,0.28,0.0817199152841523,498.3957450714302,0.0
15,0.02,0.6,0.38,0.1007808916029629,509.9515706461227,0.0
16,0.02,0.5,0.48,0.1271323629300241,521.4040166927857,0.0
17,0.02,0.4,0.58,0.16594612342157752,532.7530338055409,0.0
18,0.02,0.3,0.68,0.22880066182603107,543.9986017624734,0.0
19,0.02,0.2,0.78,0.34805243253174883,555.14072823802,0.0
20,0.02,0.1,0.88,0.6613682874528529,566.1794537721228,0.0
21,0.02,0.0,0.98,3.711142159274787,389.59843907305526,0.0
22,0.03,0.97,0.0,0.07360824742268039,547.5771566425802,0.0
23,0.03,0.9,0.07,0.08200059617367213,555.5896000674312,0.0
24,0.03,0.8,0.17,0.09646715068997937,566.9447752597039,0.0
25,0.03,0.7,0.27,0.11493736953156908,578.1927305132809,0.0
26,0.03,0.6,0.37,0.1393402160048112,589.3335447314789,0.0
27,0.03,0.5,0.47,0.1730809035598677,600.3673332608123,0.0
28,0.03,0.4,0.57,0.22278725245674713,611.2942491221131,0.0
29,0.03,0.3,0.67,0.3033034135439629,622.1144849285862,0.0
30,0.03,0.2,0.77,0.4561397920553918,632.8282706591675,0.0
31,0.03,0.1,0.87,0.858167871189811,643.4358854628144,0.0
32,0.03,0.0,0.97,4.807652996043914,394.3836007197436,0.0
33,0.04,0.96,0.0,0.09916666666666667,628.964218922997,0.0
34,0.04,0.9,0.06,0.10802438935577414,635.5656224613791,0.0
35,0.04,0.8,0.16,0.12565930253822755,646.4796602781134,0.0
36,0.04,0.7,0.26,0.1481763118210868,657.2835693233257,0.0
37,0.04,0.6,0.36,0.1779284915004054,667.9776692666882,0.0
38,0.04,0.5,0.46,0.2190705468014369,678.5623193773134,0.0
39,0.04,0.4,0.56,0.27969126450535614,689.0379175029908,0.0
40,0.04,0.3,0.66,0.3779141498120187,699.4049026339262,0.0
41,0.04,0.2,0.76,0.5644542452676953,709.6637640551038,0.0
42,0.04,0.1,0.86,1.0557186566826877,698.259172531112,0.0
43,0.04,0.0,0.96,5.927007808579064,398.8666430341627,0.0
44,0.05,0.95,0.0,0.12526315789473685,709.4955359563972,0.0
45,0.05,0.8,0.15,0.15486804708398005,725.2061667892773,0.0
46,0.05,0.7,0.25,0.18143676301005415,735.5402201908672,0.0
47,0.05,0.6,0.35,0.2165457507075604,745.7631634036085,0.0
48,0.05,0.5,0.45,0.26510134783104294,755.8755923737763,0.0
49,0.05,0.4,0.55,0.3366582639758305,765.878142278477,0.0
50,0.05,0.3,0.65,0.452633105570239,775.7714974832783,0.0
51,0.05,0.2,0.75,0.6729965086138167,785.556446934878,0.0
52,0.05,0.1,0.85,1.2540249532632917,697.7800325225354,0.0
53,0.05,0.0,0.95,7.069927985588639,403.0542990570196,0.0
54,0.06,0.94,0.0,0.15191489361702126,789.077046258663,0.0
55,0.06,0.8,0.14,0.18409339847808875,803.049879827093,0.0
56,0.06,0.7,0.24,0.214718743982822,812.8960362311111,0.0
57,0.06,0.6,0.34,0.25519202629310805,822.6310251227758,0.0
58,0.06,0.5,0.44,0.3111733619237999,832.2556487292861,0.0
59,0.06,0.4,0.54,0.39368835550786535,841.7707636302671,0.0
60,0.06,0.3,0.64,0.5274605164406996,851.1773256781884,0.0
61,0.06,0.2,0.74,0.7817673015557812,860.4766749739094,0.0
62,0.06,0.1,0.84,1.4530911032877025,697.3088640123132,0.0
63,0.06,0.0,0.94,8.23716561317288,406.96567814093453,0.0
64,0.07,0.93,0.0,0.17913978494623659,867.6887286266926,0.0
65,0.07,0.8,0.13,0.2133353708875013,880.0062318648722,0.0
66,0.07,0.7,0.23,0.248022275650787,889.3532362274152,0.0
67,0.07,0.6,0.33,0.2938673509729893,898.5899664977838,0.0
68,0.07,0.5,0.43,0.3572866444538458,907.7174158977568,0.0
69,0.07,0.4,0.53,0.45078164397306525,916.7366895975651,0.0
70,0.07,0.3,0.63,0.6023966187299874,925.6491819825096,0.0
71,0.07,0.2,0.73,0.8907673465883817,934.4579178100641,0.0
72,0.07,0.1,0.83,1.6529214824532306,696.8432286132308,0.0
73,0.07,0.0,0.93,9.429505125221306,410.62335792854907,0.0
74,0.08,0.92,0.0,0.20695652173913043,945.3890525284191,0.0
75,0.08,0.8,0.12,0.2425939784952838,956.1437211746021,0.0
76,0.08,0.7,0.22,0.28134737895243594,964.9850049337467,0.0
77,0.08,0.6,0.32,0.3325717575123464,973.7175196246274,0.0
78,0.08,0.5,0.42,0.4034412508945645,982.3424943694258,0.0
79,0.08,0.4,0.52,0.5079382344755863,990.8614355790048,0.0
80,0.08,0.3,0.62,0.6774416494316868,999.2766922353644,0.0
81,0.08,0.2,0.72,0.9999973692551727,1007.6023532838145,0.0
82,0.08,0.1,0.82,1.8535205001190274,696.3820206405553,0.0
83,0.08,0.0,0.92,10.647765061444696,414.0499320042711,0.0
84,0.09,0.91,0.0,0.23538461538461536,1022.3159686394931,0.0
85,0.09,0.8,0.11,0.2718692355006439,1031.604381845895,0.0
86,0.09,0.7,0.21,0.31469407485338924,1039.9337870819404,0.0
87,0.09,0.6,0.31,0.37130527872561575,1048.1552237087203,0.0
88,0.09,0.5,0.41,0.44963723681880813,1056.2701839525776,0.0
89,0.09,0.4,0.51,0.5651582323527828,1064.2808944097544,0.0
90,0.09,0.3,0.61,0.7525958462288806,1072.1920421536117,0.0
91,0.09,0.2,0.71,1.1094580981645703,1007.505764715991,0.0
92,0.09,0.1,0.81,2.0548925996304104,695.9245690443802,0.0
93,0.09,0.0,0.91,11.892799941321346,417.2666171650734,0.0
94,0.1,0.9,0.0,0.2644444444444445,1098.6254693816143,0.0
95,0.1,0.8,0.1,0.3011611561189541,1106.52921480353,0.0
96,0.1,0.7,0.2,0.3480623843464448,1114.3244432504657,0.0
97,0.1,0.6,0.3,0.41006794747662034,1122.0131122717341,0.0
98,0.1,0.5,0.4,0.4958746578991203,1129.597836728025,0.0
99,0.1,0.4,0.5,0.6224417431758527,1137.0828561269175,0.0
100,0.1,0.3,0.6,0.8278594474966573,1144.47920147076,0.0
101,0.1,0.2,0.7,1.2191502650060522,1007.4069804493171,0.0
102,0.1,0.1,0.8,2.2570422586469365,695.4704017023904,0.0
103,0.1,0.0,0.9,13.165502262973032,420.29275292185076,0.0
104,0.11,0.89,0.0,0.2941573033707865,1174.3593639231938,0.0
105,0.11,0.8,0.09,0.33046975458177386,1180.9626237350576,0.0
106,0.11,0.7,0.19,0.38145232845162236,1188.1996517125326,0.0
107,0.11,0.6,0.29,0.44885979667866266,1195.3344262008752,1.0
108,0.11,0.59,0.3,0.456814503158692,1196.0424278916435,1.0
109,0.11,0.58,0.31,0.46503401505013325,1196.7494532164287,1.0
110,0.11,0.57,0.32,0.4735317788850963,1197.455507826109,1.0
111,0.11,0.56,0.33,0.4823221672711844,1198.1605977153988,1.0
112,0.11,0.55,0.34,0.4914205600128507,1198.8647292559579,1.0
113,0.11,0.54,0.35,0.5008434339119832,1199.5679090977321,1.0
114,0.11,0.53,0.36,0.5106084623507545,1200.2701446432147,1.0
115,0.11,0.52,0.37,0.5207346259229374,1200.9714440017867,1.0
116,0.11,0.51,0.38,0.5312423355707319,1201.6718154302534,1.0
117,0.11,0.5,0.39,0.5421535699079596,1202.3712681205218,1.0
118,0.11,0.49,0.4,0.5534920286737411,1203.0698120938084,1.0
119,0.11,0.48,0.41,0.5652833045713316,1203.7674583412704,1.0
120,0.11,0.47,0.42,0.5775550761143051,1204.4642189508656,1.0
121,0.11,0.46,0.43,0.5903373245385828,1205.1601073559573,1.0
122,0.11,0.45,0.44,0.6036625783585197,1205.8551385456576,1.0
123,0.11,0.44,0.45,0.6175661897664829,1206.5493293801364,1.0
124,0.11,0.43,0.46,0.6320866478206008,1207.2426989796759,1.0
125,0.11,0.42,0.47,0.6472659342627769,1207.9352692248833,1.0
126,0.11,0.41,0.48,0.6631499288939467,1208.6270654096272,1.0
127,0.11,0.4,0.49,0.6797888727504876,1209.318117107975,1.0
128,0.11,0.39,0.5,0.6972378989311432,1210.008459348053,1.0
129,0.11,0.38,0.51,0.7155576428897703,1210.6981342354097,1.0
130,0.11,0.37,0.52,0.7348149464279529,1211.3871932618738,1.0
131,0.11,0.36,0.53,0.7550836726118729,1212.07570068233,1.0
132,0.11,0.35,0.54,0.7764456525540488,1212.7637386422366,1.0
133,0.11,0.34,0.55,0.7989917896437296,1213.4514153092903,1.0
134,0.11,0.33,0.56,0.8228233526441932,1214.138878489647,1.0
135,0.11,0.32,0.57,0.848053496450444,1214.8263400753187,1.0
136,0.11,0.31,0.58,0.8748090586826559,1215.5141241740414,1.0
137,0.11,0.3,0.59,0.903232692304632,1216.2027749794304,1.0
138,0.11,0.29,0.6,0.9334854099494828,1216.893351557557,1.0
139,0.11,0.28,0.61,0.9657496357632015,1217.5885815446186,1.0
140,0.11,0.27,0.62,1.0002328869349695,1218.1212125739805,1.0
141,0.11,0.26,0.63,1.037172241889408,1188.3094730829525,0.0
142,0.11,0.25,0.64,1.076839798490389,1158.4030012590777,0.0
143,0.11,0.1,0.79,2.4599739894742885,695.0191672299709,0.0
144,0.11,0.0,0.89,14.466804636796667,423.1457004694963,0.0
145,0.12,0.88,0.0,0.3245454545454545,1249.5310575812732,1.0
146,0.12,0.87,0.01,0.328605317376315,1250.2093024009853,1.0
147,0.12,0.86,0.02,0.33275739085436984,1250.88653263194,1.0
148,0.12,0.85,0.03,0.3370048526018748,1251.5627516634563,1.0
149,0.12,0.84,0.04,0.34135102794082894,1252.2379627080722,1.0
150,0.12,0.83,0.05,0.3457993985754471,1252.912169087493,1.0
151,0.12,0.82,0.06,0.3503536118943939,1253.5853742092247,1.0
152,0.12,0.81,0.07,0.35501749094501217,1254.257581570963,1.0
