,Xf,Xa,Xi,phi,Tad,Flammable
0,0.01,0.99,0.0,0.02404040404040404,396.74290449022817,0.0
1,0.01,0.9,0.09,0.03624795348406201,432.33407636355685,0.0
2,0.01,0.8,0.19,0.05269400975031381,470.7737505393232,0.0
3,0.01,0.7,0.29,0.07328167069389709,507.9805564303797,0.0
4,0.01,0.6,0.39,0.09980077140812905,543.9197573202042,0.0
5,0.01,0.5,0.49,0.13524604252198985,578.5853072798839,0.0
6,0.01,0.4,0.59,0.18503617704132577,611.9922853431675,0.0
7,0.01,0.3,0.69,0.26008846044617906,644.170644871141,0.0
8,0.01,0.2,0.79,0.386164153852905,675.1602782839332,0.0
9,0.01,0.1,0.89,0.6420891950713066,705.0072600257292,0.0
10,0.01,0.0,0.99,1.4414507964995198,641.1812303218389,0.0
11,0.02,0.98,0.0,0.04857142857142858,492.38823084710714,0.0
12,0.02,0.9,0.08,0.06140882370662383,522.6401944169563,0.0
13,0.02,0.8,0.18,0.08068921818518485,559.2820745451089,0.0
14,0.02,0.7,0.28,0.10483081118691165,594.6098776491273,0.0
15,0.02,0.6,0.38,0.1359373004817765,628.6350682351696,0.0
16,0.02,0.5,0.48,0.17753083914394605,661.3864058675839,0.0
17,0.02,0.4,0.58,0.23598994213210042,692.9042540133852,0.0
18,0.02,0.3,0.68,0.32418135119447067,723.236240024424,0.0
19,0.02,0.2,0.78,0.4725231738054394,752.4340490753236,0.0
20,0.02,0.1,0.88,0.7743991508398825,780.5512074870859,0.0
21,0.02,0.0,0.98,1.723825777425654,659.5947501194248,0.0
22,0.03,0.97,0.0,0.0736082474226804,586.4754206045087,0.0
23,0.03,0.9,0.07,0.08661794178504235,611.5590916626595,0.0
24,0.03,0.8,0.17,0.10874412587437206,646.2429642277197,0.0
25,0.03,0.7,0.27,0.13645572126348646,679.600700756358,0.0
26,0.03,0.6,0.37,0.17217315266944985,711.6740127813576,0.0
27,0.03,0.5,0.47,0.2199514803535031,742.5129534051875,0.0
28,0.03,0.4,0.57,0.2871406538401371,772.1722147435989,0.0
29,0.03,0.3,0.67,0.38858512498775694,800.7084928680185,0.0
30,0.03,0.2,0.77,0.5594443928099065,828.1787304431588,0.0
31,0.03,0.1,0.87,0.9080183975300351,854.6395029104664,0.0
32,0.03,0.0,0.97,2.0120229229069664,676.8072172156441,0.0
33,0.04,0.96,0.0,0.09916666666666664,678.6867619663791,0.0
34,0.04,0.9,0.06,0.11187544663082791,698.9217625916875,0.0
35,0.04,0.8,0.16,0.13685892398300542,731.5781721940612,0.0
36,0.04,0.7,0.26,0.16815667420834146,762.9459159153752,0.0
37,0.04,0.6,0.36,0.20850873802673145,793.0836590843307,0.0
38,0.04,0.5,0.46,0.26250862182752976,822.0522116492575,0.0
39,0.04,0.4,0.56,0.33848945623428406,849.9124836228741,0.0
40,0.04,0.3,0.66,0.45330204923587725,876.7241755451546,0.0
41,0.04,0.2,0.76,0.6469333186859493,902.5451970129576,0.0
42,0.04,0.1,0.86,1.0429664661737459,903.8213153209942,0.0
43,0.04,0.0,0.96,2.3062241755858057,692.7484571408313,0.0
44,0.05,0.95,0.0,0.12526315789473685,768.8647835672878,0.0
45,0.05,0.8,0.15,0.16503380449326918,815.2916852954556,0.0
46,0.05,0.7,0.25,0.19993394462201813,844.7047600773327,0.0
47,0.05,0.6,0.35,0.24494446886953397,872.9640504605577,0.0
48,0.05,0.5,0.45,0.3052029234693418,900.1336995487143,0.0
49,0.05,0.4,0.55,0.39003750226182116,926.2753888030215,0.0
50,0.05,0.3,0.65,0.5183344134520609,951.4480075142126,0.0
51,0.05,0.2,0.75,0.7349955314351629,975.7082651733655,0.0
52,0.05,0.1,0.85,1.1792632782102157,901.7854677635412,0.0
53,0.05,0.0,0.95,2.6066191388473583,707.4184772815221,0.0
54,0.06,0.94,0.0,0.15191489361702123,857.0073724864689,0.0
55,0.06,0.8,0.14,0.193268960208772,897.4729195455836,0.0
