,Xf,Xa,Xi,phi,Tad,Flammable
0,0.01,0.99,0.0,0.031879666227492325,402.58105403465396,0.0
1,0.01,0.9,0.09,0.038062770433454414,412.69668686433,0.0
2,0.01,0.8,0.19,0.046515159938865874,423.7177424292569,0.0
3,0.01,0.7,0.29,0.057299352502212436,434.5088147950028,0.0
4,0.01,0.6,0.39,0.07153467450924539,445.070782670531,0.0
5,0.01,0.5,0.49,0.09119332770709523,455.40525864352685,0.0
6,0.01,0.4,0.59,0.1201038522944638,465.5144862033586,0.0
7,0.01,0.3,0.69,0.1668073311651058,475.401245078169,0.0
8,0.01,0.2,0.79,0.2550312904217563,485.0687632689437,0.0
9,0.01,0.1,0.89,0.4844520067760187,494.5206482791171,0.0
10,0.01,0.0,0.99,2.55173904351856,406.6312506276455,0.0
11,0.02,0.98,0.0,0.06440993788819876,503.3207460988705,0.0
12,0.02,0.9,0.08,0.07272182902207718,511.33600399465087,0.0
13,0.02,0.8,0.18,0.08537935900396398,521.1409009407429,0.0
14,0.02,0.7,0.28,0.10153000031365951,530.7119741031083,0.0
15,0.02,0.6,0.38,0.12285121452235749,540.0539711734514,0.0
16,0.02,0.5,0.48,0.1522992262603123,549.171884144008,0.0
17,0.02,0.4,0.58,0.19561446411440803,558.0708910149908,0.0
18,0.02,0.3,0.68,0.26560872662901275,566.756294597954,0.0
19,0.02,0.2,0.78,0.39789935138632815,575.2334801445793,0.0
20,0.02,0.1,0.88,0.7423407101589511,583.5078723428039,0.0
21,0.02,0.0,0.98,3.874223176192285,417.4255791234116,0.0
22,0.03,0.97,0.0,0.09761093679964143,601.7606120823352,0.0
23,0.03,0.9,0.07,0.10739979673360521,607.8355952275824,0.0
24,0.03,0.8,0.17,0.12426733319284033,616.3232253971161,0.0
25,0.03,0.7,0.27,0.14579144108422534,624.5921641496441,0.0
26,0.03,0.6,0.37,0.1742092017284308,632.6489415334187,0.0
27,0.03,0.5,0.47,0.21346388902732363,640.5000053862432,0.0
28,0.03,0.4,0.57,0.271214800852125,648.1517016698979,0.0
29,0.03,0.3,0.67,0.3645637051305173,655.6102547814662,0.0
30,0.03,0.2,0.77,0.541088435656877,662.8817550006102,0.0
31,0.03,0.1,0.87,1.0012744714880386,669.5065987682412,0.0
32,0.03,0.0,0.97,5.223975022941758,428.2897730107577,0.0
33,0.04,0.96,0.0,0.1315036231884058,697.6033211638503,0.0
34,0.04,0.9,0.06,0.14209668904678374,701.978057476125,0.0
35,0.04,0.8,0.16,0.16317910432877228,709.1109932293514,0.0
36,0.04,0.7,0.26,0.19008370698175828,716.052109027133,0.0
37,0.04,0.6,0.36,0.22560868636167325,722.8081679924383,0.0
38,0.04,0.5,0.46,0.27468740081730864,729.3856975876399,0.0
39,0.04,0.4,0.56,0.3469050225251245,735.7909955259335,0.0
40,0.04,0.3,0.66,0.4636726250567155,742.0301327204617,0.0
41,0.04,0.2,0.76,0.6845996264553151,748.1089845388644,0.0
42,0.04,0.1,0.86,1.2612596560875904,661.7428346713175,0.0
43,0.04,0.0,0.96,6.601846699831843,439.0292189267864,0.0
44,0.05,0.95,0.0,0.16610983981693364,790.7340591497059,0.0
45,0.05,0.8,0.15,0.20211469426175402,799.472671164304,0.0
46,0.05,0.7,0.25,0.23440683021892772,805.0982684370526,0.0
47,0.05,0.6,0.35,0.27704971873750434,810.5708760428287,0.0
48,0.05,0.5,0.45,0.3359698466027218,815.8963012377238,0.0
49,0.05,0.4,0.55,0.4226852895316486,821.0801115926378,0.0
50,0.05,0.3,0.65,0.5629358459106376,826.1276669493558,0.0
51,0.05,0.2,0.75,0.828434011882499,831.0443216363983,0.0
52,0.05,0.1,0.85,1.5223026810809994,661.3319066020777,0.0
53,0.05,0.0,0.95,8.008726201498563,449.63564398418305,0.0
54,0.06,0.94,0.0,0.20145235892691946,881.209346880398,0.0
55,0.06,0.8,0.14,0.2410741248685378,887.4989342597953,0.0
56,0.06,0.7,0.24,0.27876084305330207,891.8415369709905,0.0
57,0.06,0.6,0.34,0.3285323492527194,896.0648201818,0.0
58,0.06,0.5,0.44,0.3973113115196861,900.1735282129415,0.0
59,0.06,0.4,0.54,0.4985557626518031,904.1722432856329,0.0
60,0.06,0.3,0.64,0.6623537283155924,908.0655357955412,0.0
61,0.06,0.2,0.74,0.972592684945727,911.8596744090407,0.0
62,0.06,0.1,0.84,1.7844100159187215,663.9640307467168,0.0
63,0.06,0.0,0.94,9.445539309583726,460.100039099907,0.0
64,0.07,0.93,0.0,0.2375549322113137,969.2300850889682,0.0
65,0.07,0.8,0.13,0.280057418052675,973.3905760083942,0.0
66,0.07,0.7,0.23,0.32314577778742765,976.4877299048887,0.0
67,0.07,0.6,0.33,0.38005662838565396,979.499252185474,0.0
68,0.07,0.5,0.43,0.4587118808683873,982.4287835974714,0.0
69,0.07,0.4,0.53,0.5745166030486965,985.2800135656144,0.0
70,0.07,0.3,0.63,0.7619266340195365,988.0572990096623,0.0
71,0.07,0.2,0.73,1.1170767435864306,915.9124818959764,0.0
72,0.07,0.1,0.83,2.047588182912732,667.490346485001,0.0
73,0.07,0.0,0.93,10.913251624294372,470.4127690824183,0.0
74,0.08,0.92,0.0,0.2744423440453686,1055.1113395449677,0.0
75,0.08,0.8,0.12,0.31906459574455676,1057.4422260583403,0.0
76,0.08,0.7,0.22,0.36756166676890617,1059.3244960258469,0.0
77,0.08,0.6,0.32,0.43162260669634966,1061.1548518646246,0.0
78,0.08,0.5,0.42,0.5201716401134692,1062.9360031804106,0.0
79,0.08,0.4,0.52,0.650567972269579,1064.6712310476091,0.0
80,0.08,0.3,0.62,0.8616549258994615,1066.3670306925005,0.0
81,0.08,0.2,0.72,1.2618872907080416,902.5024000664051,0.0
82,0.08,0.1,0.82,2.3118437577775333,671.3374057224701,0.0
83,0.08,0.0,0.92,12.412870728455252,480.5637376436668,0.0
84,0.09,0.91,0.0,0.3121404682274247,1139.104349549102,0.0
85,0.09,0.8,0.11,0.35809567990145535,1139.8844227623333,0.0
86,0.09,0.7,0.21,0.41200854239047424,1140.5738836061983,0.0
87,0.09,0.6,0.31,0.483230334826718,1141.2461497391162,0.0
88,0.09,0.5,0.41,0.5816906748844298,1141.903341370275,0.0
89,0.09,0.4,0.51,0.7267100322469896,1142.5495437688608,0.0
90,0.09,0.3,0.61,0.961538967965801,1143.2046888328202,0.0
91,0.09,0.2,0.71,1.407025434204061,889.3597454618016,0.0
92,0.09,0.1,0.81,2.57718337017784,675.2915044498894,0.0
93,0.09,0.0,0.91,13.94544849424604,490.5426122240907,0.0
94,0.1,0.9,0.0,0.3506763285024155,1221.3158934648327,0.0
95,0.1,0.8,0.1,0.3971506925075655,1220.8197494702479,0.0
96,0.1,0.7,0.2,0.45648643709008135,1220.3415550244656,0.0
97,0.1,0.6,0.3,0.5348798635007073,1219.882067684613,0.0
98,0.1,0.5,0.4,0.6432690709760203,1219.4436783017657,0.0
99,0.1,0.4,0.5,0.8029429452999052,1219.0346255174936,0.0
100,0.1,0.3,0.6,1.0615791253668616,1162.3035395439854,0.0
101,0.1,0.2,0.7,1.5524922869863091,876.4883160751463,0.0
102,0.1,0.1,0.8,2.843613704282995,679.2542204512117,0.0
103,0.1,0.0,0.9,15.512083543721076,500.339055480061,0.0
104,0.11,0.89,0.0,0.39007816316560817,1301.8312117442713,1.0
105,0.11,0.88,0.01,0.3947515240871878,1301.6621209693265,1.0
106,0.11,0.87,0.02,0.3995296167351136,1301.4935904915326,1.0
107,0.11,0.86,0.03,0.40441600161995644,1301.325619042901,1.0
108,0.11,0.85,0.04,0.4094144024953104,1301.1582055172717,1.0
109,0.11,0.84,0.05,0.4145287158217672,1300.991348889318,1.0
110,0.11,0.83,0.06,0.41976302089702394,1300.8250482396927,1.0
111,0.11,0.82,0.07,0.42512159070746774,1300.6593027633724,1.0
112,0.11,0.81,0.08,0.43060890356191106,1300.4941117634464,1.0
113,0.11,0.8,0.09,0.43622965557404547,1300.3294746762022,1.0
114,0.11,0.79,0.1,0.4419887740667393,1300.1653906882595,1.0
115,0.11,0.78,0.11,0.4478914319785973,1300.001860637113,1.0
116,0.11,0.77,0.12,0.45394306336131146,1299.8388832119285,1.0
117,0.11,0.76,0.13,0.4601493800653958,1299.6764587730868,1.0
