,Xf,Xa,Xi,phi,Tad,Flammable
0,0.01,0.99,0.0,0.02644444444444445,384.3466936221652,0.0
1,0.01,0.9,0.09,0.031126610536202647,391.01927237331256,0.0
2,0.01,0.8,0.19,0.03753877676175341,398.2805274319599,0.0
3,0.01,0.7,0.29,0.045739380010672896,405.3825774805189,0.0
4,0.01,0.6,0.39,0.056597903056017695,412.3273551500492,0.0
5,0.01,0.5,0.49,0.07165645248358062,419.11707283034895,0.0
6,0.01,0.4,0.59,0.09393612809884919,425.75418204154,0.0
7,0.01,0.3,0.69,0.13026931009936377,432.24133222688766,0.0
8,0.01,0.2,0.79,0.20007860841988587,438.58133426480913,0.0
9,0.01,0.1,0.89,0.38914942352472853,444.7771276967825,0.0
10,0.01,0.0,0.99,2.793554888564988,373.5349121269809,0.0
11,0.02,0.98,0.0,0.05342857142857143,467.41864658109756,0.0
12,0.02,0.9,0.08,0.059945666587119376,472.5272496572724,0.0
13,0.02,0.8,0.18,0.06988705578886853,478.7696577949755,0.0
14,0.02,0.7,0.28,0.082601895326854,484.85640375484314,0.0
15,0.02,0.6,0.38,0.09943892784087961,490.7914138702127,0.0
16,0.02,0.5,0.48,0.12279061880322412,496.57864116692724,0.0
17,0.02,0.4,0.58,0.15734493235334593,502.2220481433921,0.0
18,0.02,0.3,0.68,0.21370717005562812,507.72558481998783,0.0
19,0.02,0.2,0.78,0.3220408723767976,513.0931710812047,0.0
20,0.02,0.1,0.88,0.6157237814090564,518.3286832733453,0.0
21,0.02,0.0,0.98,4.385589728381632,382.1331791467712,0.0
22,0.03,0.97,0.0,0.08096907216494845,548.9254440032153,0.0
23,0.03,0.9,0.07,0.08877556317744997,552.6052665630518,0.0
24,0.03,0.8,0.17,0.10224899276790163,557.7403565611567,0.0
25,0.03,0.7,0.27,0.11948214611305243,562.7364417946682,0.0
26,0.03,0.6,0.37,0.14230390665863507,567.5981730485078,0.0
27,0.03,0.5,0.47,0.17395890929514762,572.3300718765429,0.0
28,0.03,0.4,0.57,0.22080620654456212,576.936526504924,0.0
29,0.03,0.3,0.67,0.2972358730242367,581.421787844509,0.0
30,0.03,0.2,0.77,0.44419719253813544,585.7899753131227,0.0
31,0.03,0.1,0.87,0.842967497968633,590.0450667764532,0.0
32,0.03,0.0,0.97,6.010450028813055,390.66564159293483,0.0
33,0.04,0.96,0.0,0.1090833333333333,628.6535113744239,0.0
34,0.04,0.9,0.06,0.11761630642499032,631.0992656626224,0.0
35,0.04,0.8,0.16,0.13462459635058224,635.0815745422416,0.0
36,0.04,0.7,0.26,0.15638014517180948,638.9503998147774,0.0
37,0.04,0.6,0.36,0.18519285960530713,642.7101210497723,0.0
38,0.04,0.5,0.46,0.22516135812968865,646.3649270149989,0.0
39,0.04,0.4,0.56,0.28432001582671046,649.9188226193999,0.0
40,0.04,0.3,0.66,0.38085556744405974,653.3756367491584,0.0
41,0.04,0.2,0.76,0.5665480324217786,656.739031484428,0.0
42,0.04,0.1,0.86,1.0708835437767832,635.9761530380907,0.0
43,0.04,0.0,0.96,7.669161585503462,399.1301778471279,0.0
44,0.05,0.95,0.0,0.13778947368421054,706.4776921010116,0.0
45,0.05,0.8,0.15,0.16701387519594857,710.7350431196437,0.0
46,0.05,0.7,0.25,0.19329590531799157,713.4690161250762,0.0
47,0.05,0.6,0.35,0.2281058067994045,716.1236347899618,0.0
48,0.05,0.5,0.45,0.27639799952282196,718.7021743651593,0.0
49,0.05,0.4,0.55,0.34788642546192106,721.2077431948491,0.0
50,0.05,0.3,0.65,0.4645664020775453,723.643294985535,0.0
51,0.05,0.2,0.75,0.6890938570229797,726.0116548819043,0.0
52,0.05,0.1,0.85,1.2994749070105074,632.8088938317889,0.0
53,0.05,0.0,0.95,9.362793385492614,407.5244725197282,0.0
54,0.06,0.94,0.0,0.16710638297872335,782.3600123080754,0.0
55,0.06,0.8,0.14,0.19941683797035561,784.6989455255097,0.0
56,0.06,0.7,0.24,0.23022943937880522,786.3095929656515,0.0
57,0.06,0.6,0.34,0.2710427683819529,787.8726942981218,0.0
58,0.06,0.5,0.44,0.3276688677362358,789.3902989698214,0.0
59,0.06,0.4,0.54,0.4115055008204657,790.8643510502078,0.0
60,0.06,0.3,0.64,0.5483685260116018,792.2967101209933,0.0
61,0.06,0.2,0.74,0.8118351328202544,793.6892418057347,0.0
62,0.06,0.1,0.84,1.5287445935810715,634.6364671475762,0.0
63,0.06,0.0,0.94,11.092459904630477,415.8460001366856,0.0
64,0.07,0.93,0.0,0.19705376344086023,856.3399734671954,0.0
65,0.07,0.8,0.13,0.23183349334748268,857.0253656841114,0.0
66,0.07,0.7,0.23,0.26718076019381176,857.5342650379868,0.0
67,0.07,0.6,0.33,0.3140037645165262,858.028029723509,0.0
68,0.07,0.5,0.43,0.3789739970774083,858.5073545878236,0.0
69,0.07,0.4,0.53,0.4751773073809813,858.9729220907514,0.0
70,0.07,0.3,0.63,0.6322620886584832,859.4254596166037,0.0
71,0.07,0.2,0.73,0.9347723277813016,859.86627198156,0.0
72,0.07,0.1,0.83,1.7586956272657686,637.6444210232409,0.0
73,0.07,0.0,0.93,12.859323553212162,424.0920132251726,0.0
74,0.08,0.92,0.0,0.2276521739130435,928.5212938833442,0.0
75,0.08,0.8,0.12,0.2642638500083409,927.8145254274435,0.0
76,0.08,0.7,0.22,0.3041498806149422,927.245532962126,0.0
77,0.08,0.6,0.32,0.35698881538927835,926.6938722040101,0.0
78,0.08,0.5,0.42,0.4303134218996842,926.1588473662102,0.0
79,0.08,0.4,0.52,0.5389019107306946,925.6398877446284,0.0
80,0.08,0.3,0.62,0.7162472397566764,925.1367461647225,0.0
81,0.08,0.2,0.72,1.0579059113689493,888.9140601107945,0.0
82,0.08,0.1,0.82,1.989331049840848,641.0402999773466,0.0
83,0.08,0.0,0.92,14.66459728111084,432.2595102000475,0.0
