,Xf,Xa,Xi,phi,Tad,Flammable
0,0.01,0.99,0.0,0.03263141929808596,400.3103410951297,0.0
1,0.01,0.9,0.09,0.03788253977262147,406.71413166282036,0.0
2,0.01,0.8,0.19,0.04507464266616469,413.68744179508917,0.0
3,0.01,0.7,0.29,0.054273999198318865,420.51296940196204,0.0
4,0.01,0.6,0.39,0.06645719886899888,427.1927137444513,0.0
5,0.01,0.5,0.49,0.08335698154267222,433.7288797234046,0.0
6,0.01,0.4,0.59,0.10836973854041529,440.1238443193365,0.0
7,0.01,0.3,0.69,0.14918279033889673,446.3801261311591,0.0
8,0.01,0.2,0.79,0.22767906318349868,452.5003578986354,0.0
9,0.01,0.1,0.89,0.4408043011387677,458.4872618638085,0.0
10,0.01,0.0,0.99,3.219961407212669,371.1118404298915,0.0
11,0.02,0.98,0.0,0.06592878592878594,498.57482255849584,0.0
12,0.02,0.9,0.08,0.07350396287236029,503.3133987377013,0.0
13,0.02,0.8,0.18,0.08506054312190335,509.107276119854,0.0
14,0.02,0.7,0.28,0.09984322021946182,514.7609151526003,0.0
15,0.02,0.6,0.38,0.11942201491652259,520.2780353540304,0.0
16,0.02,0.5,0.48,0.146582973194696,525.6623333034761,0.0
17,0.02,0.4,0.58,0.18678817859748245,530.9174727714053,0.0
18,0.02,0.3,0.68,0.2524040548152537,536.0470678938614,0.0
19,0.02,0.2,0.78,0.37865088787361717,541.0546774982033,0.0
20,0.02,0.1,0.88,0.7217356820886281,545.9437966927693,0.0
21,0.02,0.0,0.98,5.237718326155314,378.69158841384603,0.0
22,0.03,0.97,0.0,0.09991269620135602,594.3650462724058,0.0
23,0.03,0.9,0.07,0.10913843213312094,597.6055774093346,0.0
24,0.03,0.8,0.17,0.1250628822844935,602.1311603727611,0.0
25,0.03,0.7,0.27,0.1454337908053814,606.5384234155794,0.0
26,0.03,0.6,0.37,0.17241567194747173,610.8313889697055,0.0
27,0.03,0.5,0.47,0.20985006198743014,615.0139399768273,0.0
28,0.03,0.4,0.57,0.2652698357856973,619.0898288003675,0.0
29,0.03,0.3,0.67,0.3557348411986557,623.0626686777429,0.0
30,0.03,0.2,0.77,0.5298569659259669,626.9359445599159,0.0
31,0.03,0.1,0.87,1.0034778541263396,629.5230284633195,0.0
32,0.03,0.0,0.97,7.297078480540076,386.19564153514534,0.0
33,0.04,0.96,0.0,0.13460460460460458,687.4112147545968,0.0
34,0.04,0.9,0.06,0.14478595472334913,689.3920282875056,0.0
35,0.04,0.8,0.16,0.1650816702932581,692.6204531379032,0.0
36,0.04,0.7,0.26,0.19104572596327027,695.7607548913761,0.0
37,0.04,0.6,0.36,0.22543819352547564,698.8162973803767,0.0
38,0.04,0.5,0.46,0.27315828800385383,701.7902896872174,0.0
39,0.04,0.4,0.56,0.3438147865797483,704.6857945615736,0.0
40,0.04,0.3,0.66,0.45917532389233995,707.5057383541099,0.0
41,0.04,0.2,0.76,0.6812978429778906,710.2529252581751,0.0
42,0.04,0.1,0.86,1.2860343323390362,622.0898666927415,0.0
43,0.04,0.0,0.96,9.39934197147452,393.6226365720388,0.0
44,0.05,0.95,0.0,0.1700268689742374,777.6148751096983,0.0
45,0.05,0.8,0.15,0.20511691729586043,780.5489110109248,0.0
46,0.05,0.7,0.25,0.23667904071438928,782.4366497142854,0.0
47,0.05,0.6,0.35,0.27848960323983984,784.2723412816388,0.0
48,0.05,0.5,0.45,0.33650769137908837,786.0580709080356,0.0
49,0.05,0.4,0.55,0.42242310757772344,787.7958264859072,0.0
50,0.05,0.3,0.65,0.5627256776700345,789.4875180041498,0.0
51,0.05,0.2,0.75,0.8329740663626238,791.1350761271273,0.0
52,0.05,0.1,0.85,1.5694086521622408,622.7248007600236,0.0
53,0.05,0.0,0.95,11.54586364116548,400.9711954604384,0.0
54,0.06,0.94,0.0,0.2062027985432241,865.0329662774618,0.0
55,0.06,0.8,0.14,0.24516863344831283,865.99974882867,0.0
56,0.06,0.7,0.24,0.2823337500940849,866.6669028683223,0.0
57,0.06,0.6,0.34,0.33156992470558083,867.3154971858087,0.0
58,0.06,0.5,0.44,0.39989831230048206,867.9463317550163,0.0
59,0.06,0.4,0.54,0.5010948755013598,868.5601997018059,0.0
60,0.06,0.3,0.64,0.6663860776769422,869.1579666809653,0.0
61,0.06,0.2,0.74,0.9848861851158894,869.7416642461385,0.0
62,0.06,0.1,0.84,1.8536043695273219,624.8191484974617,0.0
63,0.06,0.0,0.94,13.738055984679654,408.23991096317116,0.0
